Chr,Start,End
1,3013441,3018441
1,3054441,3059441
1,3077441,3082441
1,3082441,3086441
1,3094441,3103441
1,3104441,3106441
1,3113441,3115441
1,3139441,3146441
1,3164441,3168441
1,3172441,3178441
1,3178441,3189441
1,3219441,3235441
1,3241441,3245441
1,3261441,3265441
1,3269441,3275441
1,3306441,3309441
1,3314441,3318441
1,3327441,3331441
1,3339441,3342441
1,3372441,3377441
1,3379441,3381441
1,3388441,3398441
1,3426441,3435441
1,3447441,3454441
1,3476441,3479441
1,3479441,3484441
1,3563441,3568441
1,3657441,3662441
1,3715441,3720441
1,3787441,3790441
1,3809441,3815441
1,3946441,3953441
1,3986441,3989441
1,3995441,3999441
1,4018441,4022441
1,4024441,4026441
1,4027441,4037441
1,4037441,4044441
1,4044441,4051441
1,4110441,4113441
1,4116441,4119441
1,4233441,4238441
1,4244441,4252441
1,4267441,4269441
1,4419441,4423441
1,4516441,4522441
1,4578441,4582441
1,4588441,4601441
1,4633441,4641441
1,4654441,4657441
1,4661441,4669441
1,4761441,4773441
1,4832441,4835441
1,4894441,4905441
1,4908441,4916441
1,5003441,5006441
1,5009441,5021441
1,5056441,5060441
1,5061441,5076441
1,5083441,5090441
1,5103441,5106441
1,5131441,5134441
1,5152441,5156441
1,5186441,5195441
1,5209441,5218441
1,5237441,5248441
1,5249441,5252441
1,5253441,5257441
1,5274441,5276441
1,5299441,5313441
1,5315441,5323441
1,5347441,5351441
1,5357441,5362441
1,5362441,5373441
1,5373441,5377441
1,5521441,5524441
1,5608441,5612441
1,5692441,5696441
1,5736441,5738441
1,5829441,5831441
1,5883441,5886441
1,5949441,5957441
1,5998441,6000441
1,6065441,6068441
1,6081441,6084441
1,6110441,6116441
1,6116441,6121441
1,6142441,6149441
1,6153441,6158441
1,6176441,6185441
1,6241441,6245441
1,6480441,6483441
1,6490441,6493441
1,6493441,6501441
1,6524441,6528441
1,6542441,6545441
1,6712441,6714441
1,6716441,6719441
1,6790441,6792441
1,6808441,6813441
1,6842441,6850441
1,6855441,6865441
1,6903441,6916441
1,6923441,6926441
1,6931441,6946441
1,6958441,6963441
1,7083441,7133441
1,7230441,7232441
1,7299441,7303441
1,7305441,7329441
1,7507441,7512441
1,7526441,7530441
1,7531441,7535441
1,7544441,7547441
1,7548441,7554441
1,7555441,7564441
1,7572441,7578441
1,7590441,7600441
1,7614441,7618441
1,7641441,7646441
1,7646441,7652441
1,7674441,7683441
1,7694441,7712441
1,7713441,7716441
1,7728441,7732441
1,7733441,7737441
1,7757441,7770441
1,7785441,7788441
1,7791441,7795441
1,7797441,7803441
1,7803441,7811441
1,7813441,7816441
1,7818441,7844441
1,7857441,7866441
1,7867441,7872441
1,7882441,7920441
1,7924441,7933441
1,7933441,7943441
1,7947441,7955441
1,7957441,7959441
1,7971441,7982441
1,7991441,7999441
1,8022441,8025441
1,8028441,8037441
1,8050441,8054441
1,8079441,8084441
1,8088441,8101441
1,8101441,8106441
1,8106441,8117441
1,8124441,8132441
1,8136441,8144441
1,8144441,8152441
1,8157441,8166441
1,8175441,8181441
1,8187441,8211441
1,8211441,8256441
1,8257441,8286441
1,8294441,8306441
1,8323441,8334441
1,8357441,8364441
1,8378441,8381441
1,8390441,8395441
1,8408441,8411441
1,8412441,8414441
1,8422441,8430441
1,8442441,8454441
1,8461441,8476441
1,8484441,8504441
1,8504441,8531441
1,8531441,8535441
1,8552441,8556441
1,8556441,8563441
1,8570441,8573441
1,8573441,8582441
1,8582441,8587441
1,8595441,8600441
1,8605441,8614441
1,8630441,8638441
1,8640441,8643441
1,8667441,8674441
1,8684441,8695441
1,8696441,8724441
1,8729441,8749441
1,8757441,8762441
1,8762441,8766441
1,8805441,8808441
1,8820441,8824441
1,8825441,8852441
1,8853441,8857441
1,8912441,8918441
1,8924441,8929441
1,8930441,8933441
1,8942441,8944441
1,8945441,8949441
1,8960441,8968441
1,8976441,8982441
1,8999441,9002441
1,9007441,9011441
1,9013441,9021441
1,9021441,9045441
1,9066441,9069441
1,9081441,9083441
1,9088441,9092441
1,9096441,9099441
1,9124441,9126441
1,9151441,9155441
1,9164441,9177441
1,9180441,9185441
1,9193441,9197441
1,9217441,9222441
1,9224441,9251441
1,9252441,9261441
1,9261441,9277441
1,9303441,9312441
1,9334441,9345441
1,9356441,9378441
1,9389441,9408441
1,9441441,9447441
1,9485441,9490441
1,9568441,9571441
1,9603441,9606441
1,9606441,9610441
1,9635441,9638441
1,9696441,9703441
1,9703441,9709441
1,9714441,9722441
1,9734441,9741441
1,9741441,9748441
1,9757441,9762441
1,9765441,9776441
1,9777441,9780441
1,9825441,9829441
1,9871441,9895441
1,9902441,9906441
1,9917441,9928441
1,9986441,9989441
1,9989441,9993441
1,10017441,10019441
1,10495441,10502441
1,10605441,10608441
1,10631441,10636441
1,10678441,10680441
1,10736441,10740441
1,10884441,10888441
1,10996441,11001441
1,11004441,11008441
1,11016441,11022441
1,11022441,11025441
1,11062441,11064441
1,11114441,11124441
1,11125441,11128441
1,11136441,11144441
1,11155441,11158441
1,11163441,11166441
1,11177441,11182441
1,11182441,11186441
1,11585441,11596441
1,11598441,11601441
1,11602441,11618441
1,11634441,11638441
1,11639441,11642441
1,11645441,11647441
1,11649441,11651441
1,11669441,11672441
1,11673441,11678441
1,11679441,11681441
1,11696441,11702441
1,11722441,11728441
1,11729441,11739441
1,11760441,11767441
1,11786441,11795441
1,11810441,11823441
1,11837441,11862441
1,11864441,11869441
1,11928441,11934441
1,11940441,11947441
1,11948441,11950441
1,11975441,11979441
1,11998441,12001441
1,12267441,12272441
1,12356441,12360441
1,12700441,12703441
1,12707441,12713441
1,12733441,12736441
1,12813441,12817441
1,12883441,12894441
1,12909441,12912441
1,12926441,12929441
1,12949441,12955441
1,12998441,13001441
1,13001441,13009441
1,13013441,13029441
1,13029441,13043441
1,13061441,13068441
1,13078441,13087441
1,13111441,13124441
1,13146441,13149441
1,13158441,13161441
1,13166441,13168441
1,13186441,13195441
1,13195441,13205441
1,13243441,13246441
1,13267441,13270441
1,13284441,13293441
1,13331441,13337441
1,13348441,13352441
1,13365441,13372441
1,13396441,13401441
1,13410441,13413441
1,13420441,13447441
1,13458441,13485441
1,13486441,13490441
1,13524441,13531441
1,13547441,13551441
1,13572441,13581441
1,13640441,13642441
1,13664441,13667441
1,13709441,13713441
1,13732441,13736441
1,13763441,13777441
1,13781441,13797441
1,13799441,13816441
1,13827441,13833441
1,13833441,13837441
1,13837441,13840441
1,13841441,13845441
1,13848441,13855441
1,13871441,13880441
1,13890441,13899441
1,13914441,13916441
1,13929441,13937441
1,14003441,14006441
1,14010441,14018441
1,14018441,14030441
1,14184441,14189441
1,14229441,14238441
1,14250441,14261441
1,14263441,14268441
1,14293441,14295441
1,14303441,14307441
1,14313441,14353441
1,14353441,14359441
1,14389441,14409441
1,14429441,14438441
1,14452441,14467441
1,14480441,14485441
1,14553441,14560441
1,14561441,14566441
1,14572441,14580441
1,14608441,14613441
1,14615441,14620441
1,14630441,14635441
1,14636441,14641441
1,14641441,14649441
1,14662441,14668441
1,14682441,14685441
1,14692441,14698441
1,14711441,14727441
1,14738441,14741441
1,15246441,15257441
1,15371441,15374441
1,15478441,15483441
1,15486441,15490441
1,15495441,15523441
1,15523441,15529441
1,15538441,15548441
1,15553441,15557441
1,15558441,15572441
1,15583441,15587441
1,15589441,15597441
1,15624441,15643441
1,15651441,15665441
1,15675441,15680441
1,15689441,15703441
1,15719441,15724441
1,15734441,15747441
1,15769441,15781441
1,15787441,15798441
1,15827441,15829441
1,15865441,15868441
1,15869441,15872441
1,15893441,15898441
1,15906441,15914441
1,15914441,15924441
1,15936441,15939441
1,15955441,15969441
1,15977441,15985441
1,15992441,15997441
1,15998441,16000441
1,16001441,16056441
1,16079441,16093441
1,16094441,16102441
1,16123441,16125441
1,16133441,16145441
1,16164441,16171441
1,16219441,16228441
1,16248441,16251441
1,16251441,16255441
1,16271441,16279441
1,16325441,16338441
1,16525441,16528441
1,16556441,16558441
1,16615441,16626441
1,16685441,16688441
1,16717441,16720441
1,16746441,16751441
1,16754441,16761441
1,17155441,17159441
1,17386441,17388441
1,17399441,17401441
1,17417441,17420441
1,17421441,17424441
1,17509441,17512441
1,17564441,17568441
1,17583441,17586441
1,17830441,17836441
1,17903441,17907441
1,18135441,18139441
1,18141441,18146441
1,18158441,18163441
1,18174441,18179441
1,18205441,18209441
1,18482441,18486441
1,18523441,18526441
1,18533441,18537441
1,18620441,18624441
1,18685441,18689441
1,18728441,18733441
1,18763441,18765441
1,18820441,18824441
1,18907441,18909441
1,18948441,18951441
1,19185441,19199441
1,19309441,19313441
1,19314441,19318441
1,19453441,19468441
1,19487441,19496441
1,19596441,19602441
1,19618441,19637441
1,19657441,19663441
1,19668441,19672441
1,19682441,19686441
1,19690441,19703441
1,19706441,19719441
1,19721441,19723441
1,19729441,19740441
1,19754441,19757441
1,19762441,19769441
1,19774441,19779441
1,19783441,19785441
1,19816441,19820441
1,19834441,19837441
1,19849441,19852441
1,19873441,19889441
1,19892441,19898441
1,19923441,19927441
1,20114441,20118441
1,20118441,20121441
1,20160441,20162441
1,20243441,20246441
1,20357441,20359441
1,20360441,20365441
1,20376441,20379441
1,20388441,20393441
1,20434441,20437441
1,20453441,20458441
1,20495441,20510441
1,20513441,20517441
1,20520441,20522441
1,20528441,20533441
1,20537441,20539441
1,20539441,20543441
1,20545441,20547441
1,20549441,20553441
1,20595441,20603441
1,20611441,20619441
1,20619441,20622441
1,20638441,20641441
1,20647441,20656441
1,20749441,20757441
1,20759441,20764441
1,20772441,20774441
1,20776441,20806441
1,20863441,20867441
1,20871441,20876441
1,20931441,20934441
1,20949441,20958441
1,20959441,20963441
1,21006441,21008441
1,21010441,21017441
1,21023441,21025441
1,21031441,21040441
1,21041441,21050441
1,21057441,21062441
1,21115441,21119441
1,21281441,21302441
1,21302441,21314441
1,21370441,21374441
1,21376441,21427441
1,21554441,21557441
1,21566441,21570441
1,21605441,21608441
1,21650441,21654441
1,21672441,21674441
1,21677441,21679441
1,21680441,21689441
1,21711441,21714441
1,21719441,21723441
1,21764441,21774441
1,21995441,22001441
1,22075441,22078441
1,22088441,22093441
1,22241441,22251441
1,22283441,22287441
1,22367441,22376441
1,22378441,22381441
1,22401441,22405441
1,22416441,22424441
1,22489441,22494441
1,22584441,22586441
1,22629441,22632441
1,22643441,22648441
1,22648441,22651441
1,22689441,22691441
1,22696441,22700441
1,22707441,22713441
1,22716441,22722441
1,22781441,22791441
1,22792441,22799441
1,22820441,22823441
1,22832441,22839441
1,22841441,22850441
1,23171441,23174441
1,23261441,23264441
1,23313441,23317441
1,23318441,23322441
1,23345441,23347441
