"window","num.trees","num.uniq.trees","recomb.rate","first.last.dist","first.last.rf","rf.decay","first.last.wrf","wrf.decay","first.last.spr","spr.decay","first.last.kf","kf.decay","first.last.path","path.decay"
"chr19:1-5000000",143,19,1.84587404118183e-07,1800000,2,-0.435685021421845,0.2017691398,-0.00511202961328533,1,-0.0260386322994172,0.0757621484365988,-0.00295052858188769,3.16227766016838,-0.584649113809954
"chr19:5000001-10000000",250,21,4.13398510558476e-07,4990000,2,0.0610574303947893,0.0945527099,0.000840627583249929,1,-0.02063908184217,0.036848094348847,0.00167299973239252,3.16227766016838,-0.0789458927673803
"chr19:10000001-15000000",297,40,5.35919303414502e-07,4990000,0,0.684198053714408,0.0327461283,0.0157390277128908,0,0.196590743293431,0.0136062621051492,0.00488479740162079,0,0.734718589501126
"chr19:15000001-20000000",342,27,9.43178378690379e-07,4970000,4,0.0671676155221261,0.1053188421,0.0051445160099461,1,0.025920253047231,0.0344980934435213,0.00191398693918469,4,0.109568947116013
"chr19:20000001-25000000",377,24,1.60387837344171e-06,4990000,4,0.113865985801153,0.1322364873,0.00373241980577483,1,0.0194462026187624,0.0444133900711018,9.29203245188654e-05,4.89897948556636,0.113422417635826
"chr19:25000001-30000000",394,31,9.19563579357639e-07,4980000,2,-0.448700132017298,0.0900338964,-0.00466546721370331,1,-0.116568652308711,0.0303014851875018,-0.000894736782331676,3.46410161513775,-0.40179241044417
"chr19:30000001-35000000",365,43,1.10605404626838e-06,4990000,2,0.0798176475154405,0.093213527,0.00300170401780642,1,-0.0181291179183882,0.033257200535859,0.0011082981842313,3.16227766016838,0.138141501113401
"chr19:35000001-40000000",297,30,1.02722252844656e-06,4990000,2,0.0029433387405779,0.1371227727,0.00719720633164864,1,-0.0324795664497197,0.0445766383799091,0.0023572479166545,3.16227766016838,0.0952930555741138
"chr19:40000001-45000000",396,26,8.20992808670448e-07,4900000,4,-0.0111779293473515,0.1208517071,-0.0127530237430216,2,0.017187625969063,0.0409970481740925,-0.00364902300451904,4.47213595499958,-0.0423718381764918
"chr19:45000001-50000000",399,24,1.29987415347503e-06,4980000,2,-0.0241645028224898,0.0580036895,0.0188320600521537,1,0.0200919162561419,0.0238803542078872,0.00683242824871726,3.46410161513775,-0.0503787842954132
"chr19:50000001-55000000",362,27,1.09414029088668e-06,4940000,4,0.147214581103406,0.1198677674,-0.000304875660801694,2,0.0606545505005951,0.0416448370012047,-0.000336823765600997,4.47213595499958,0.162636852194728
"chr19:55000001-60000000",447,24,1.09112225878602e-06,4990000,0,-0.147051030220563,0.0602740304,-0.00509446917530762,0,-0.0943450042232823,0.021118836588971,-0.00163775644226816,0,-0.122249166391402
"chr19:60000001-61431566",91,15,1.94011464118139e-07,1310000,0,0.0729445430518411,0.2196170138,0.0140445729696335,0,-0.0524449645856965,0.0745907820176415,0.00381184458801361,0,-0.164414962016069
