"window","num.trees","num.uniq.trees","recomb.rate","first.last.dist","first.last.rf","rf.decay","first.last.wrf","wrf.decay","first.last.spr","spr.decay","first.last.kf","kf.decay","first.last.path","path.decay","rf.st.avg","wrf.st.avg","spr.st.avg","kf.st.avg","path.st.avg"
"chr1:1-5000000",80,19,9.82415457405815e-08,1810000,4,-0.13855979914108,0.1097111354,0.00128597222753698,2,-0.141929162783865,0.0372088156235175,0.00170823800838942,4.47213595499958,-0.0811451104740921,2.7,0.11736279682125,1.2,0.040945774171778,3.47409208166045
"chr1:5000001-10000000",146,28,5.32078953911323e-08,4980000,4,-0.192846569214387,0.1337971257,0.0142189618739105,1,0.0139617362849355,0.0470866596639906,0.00524694912398343,4.47213595499958,-0.180994686674091,2.86301369863014,0.110530378876712,1.26712328767123,0.0390857434039371,3.61431805355847
"chr1:10000001-15000000",290,25,5.51535875134206e-07,4920000,2,0.127090379096277,0.1223680181,0.00715678290501213,1,0.0487895644851189,0.0522463449411246,0.00250049582661743,3.16227766016838,0.107424061286119,2.55172413793103,0.120509207184138,1.20344827586207,0.043055959945806,3.37623503197783
"chr1:15000001-20000000",237,30,3.73322576291144e-07,4950000,4,-0.0143119113793108,0.1018417251,-0.0267139061002251,2,-0.00358340198496574,0.0364274762482977,-0.00866836917911463,4.69041575982343,0.135598027900829,2.79324894514768,0.113833598837975,1.28691983122363,0.0402519453855326,3.59147575709939
"chr1:20000001-25000000",320,27,1.07045648509129e-06,4910000,4,-0.175323806713269,0.1524555741,-0.00496487580637101,2,-0.0958346612702029,0.0610961027394923,-0.00140708831649554,4.69041575982343,-0.140026794206712,2.81875,0.123203615291875,1.321875,0.0434736578641734,3.62803990698381
"chr1:25000001-30000000",244,34,1.1998454975726e-07,4930000,2,1.13441578457627,0.0716135248,0.0129285475815521,1,0.147160073611857,0.0250547975367486,0.00277212656793689,3.16227766016838,1.00255990184318,3.44262295081967,0.116347907461475,1.40163934426229,0.0410964778575657,4.16645448083016
"chr1:30000001-35000000",278,34,4.95451466826876e-07,4970000,4,-1.10427620304105,0.1239152332,0.000674222353304674,2,-0.105355626872988,0.0395681567277761,0.00169084470645122,4.69041575982343,-0.851149047385069,2.96402877697842,0.12363609653777,1.29496402877698,0.0434226272639382,3.7535072050917
"chr1:35000001-40000000",353,20,9.50997298472053e-07,4970000,4,0.347676215420418,0.1408281742,0.0079206181512285,2,0.219230276877323,0.0507367811010075,0.00240222012266117,4.69041575982343,0.419893534353251,2.53824362606232,0.12257739732238,1.22662889518414,0.0434471869455666,3.32119598776464
"chr1:40000001-45000000",349,27,1.14833058842156e-06,4840000,4,0.317702175838284,0.1282872971,0.00738851740538355,2,0.0598922364621876,0.0426475843599798,0.00233077328434811,4.69041575982343,0.271465160262315,2.75644699140401,0.121602798151289,1.29799426934097,0.0424585253717627,3.5847444715411
"chr1:45000001-50000000",186,40,6.26871850908795e-07,4940000,2,0.367333717978725,0.0579943802,-0.00257521627829143,1,0.0554888849870926,0.024922826010755,-0.00131516658200199,3.46410161513775,0.322116856764901,3.52688172043011,0.109738130734946,1.47311827956989,0.0385328572906008,4.24252594963563
