"replicate","win1","win2","rf","wrf","spr","kf","path"
1,"chr18:54940001-54950000","chr19:34670001-34680000",6,0.1142096086,2,0.0393965742118765,5.65685424949238
1,"chr14:34090001-34100000","chr5:91740001-91750000",2,0.118247055,1,0.0458624434861458,3.46410161513775
1,"chr4:73940001-73950000","chr9:102080001-102090000",6,0.1413033479,2,0.0446745692732606,5.47722557505166
1,"chr3:102420001-102430000","chrX:162450001-162460000",4,0.0938427506,1,0.0321781852915693,4.69041575982343
1,"chr9:77940001-77950000","chr5:16950001-16960000",6,0.1016342604,2,0.0385162083477471,5.47722557505166
1,"chr9:87190001-87200000","chr10:114410001-114420000",4,0.1576182869,1,0.0597019269750278,4.69041575982343
1,"chr5:151090001-151100000","chr3:80910001-80920000",4,0.1140012265,2,0.0401600165702898,4.69041575982343
1,"chr2:172220001-172230000","chr15:24950001-24960000",4,0.0715640163,1,0.0235980325319536,6
1,"chr1:156250001-156260000","chr9:112860001-112870000",6,0.1265933977,2,0.0417080790865583,5.47722557505166
1,"chr19:30950001-30960000","chr4:8710001-8720000",6,0.168846028,2,0.0526964640402882,5.09901951359278
1,"chr5:151030001-151040000","chr8:73310001-73320000",6,0.1213316293,2,0.0404886690375747,5.47722557505166
1,"chr4:132320001-132330000","chr14:113570001-113580000",4,0.0791265247,1,0.0286597138015542,4.69041575982343
1,"chr16:23450001-23460000","chr5:104940001-104950000",4,0.0747824949,2,0.0274143727843175,4.47213595499958
1,"chr17:93710001-93720000","chr6:54740001-54750000",4,0.1007251512,2,0.0423900222757967,4.69041575982343
1,"chr18:83820001-83830000","chr8:42610001-42620000",4,0.1215851877,2,0.0398211097363461,4.47213595499958
1,"chr8:78880001-78890000","chr10:91410001-91420000",6,0.1110159366,2,0.0351958823126874,5.09901951359278
1,"chr7:16960001-16970000","chr6:43150001-43160000",4,0.0886630229,2,0.0297991720593642,4.69041575982343
1,"chr8:108960001-108970000","chr17:45350001-45360000",4,0.0952977429,2,0.0309843823325991,4.47213595499958
1,"chr8:76440001-76450000","chr1:129860001-129870000",6,0.1426958611,1,0.0618817500813188,6.16441400296898
1,"chr7:43820001-43830000","chr11:68850001-68860000",2,0.0934801344,1,0.031090093784817,3.16227766016838
1,"chr8:93350001-93360000","chr6:55940001-55950000",6,0.1607005211,2,0.0577480041505154,5.47722557505166
1,"chr1:38880001-38890000","chr6:29730001-29740000",4,0.0648248377,2,0.0206735614892179,4.69041575982343
1,"chr18:14210001-14220000","chr8:12960001-12970000",8,0.1169551312,2,0.0415320222544236,8.60232526704263
1,"chr9:72320001-72330000","chr8:81890001-81900000",2,0.1082391086,1,0.0480555204807925,3.46410161513775
1,"chr11:52300001-52310000","chr1:125910001-125920000",6,0.1016579501,2,0.0321049667319331,6
1,"chr15:96930001-96940000","chr12:96300001-96310000",8,0.119115994,2,0.0403767467427413,7.21110255092798
1,"chr6:119770001-119780000","chr4:69620001-69630000",6,0.1160090995,2,0.043617114714479,5.09901951359278
1,"chr13:84770001-84780000","chr4:120760001-120770000",6,0.0806902559,2,0.0241449069224288,6
1,"chr4:153330001-153340000","chr10:65710001-65720000",2,0.0805867642,1,0.035953893378153,3.46410161513775
1,"chr12:19650001-19660000","chr4:134220001-134230000",8,0.1468306357,2,0.0539202103673763,8.60232526704263
1,"chr16:75410001-75420000","chrX:66240001-66250000",2,0.1251572661,1,0.0446817031076866,3.16227766016838
1,"chr13:99450001-99460000","chr2:57270001-57280000",2,0.1580400473,1,0.0531750841266033,3.16227766016838
1,"chr17:37040001-37050000","chr12:39730001-39740000",4,0.0603228494,1,0.02089780110861,4.69041575982343
1,"chr6:138500001-138510000","chr3:19830001-19840000",4,0.0693401505,1,0.0239246010752559,5.65685424949238
1,"chr2:142330001-142340000","chr7:54900001-54910000",2,0.0901368414,1,0.0333743754667182,3.16227766016838
1,"chr6:107410001-107420000","chrX:38730001-38740000",6,0.1331828445,2,0.0393181684698521,5.09901951359278
1,"chr1:123740001-123750000","chr5:25800001-25810000",2,0.1244843792,1,0.0508190835932615,3.46410161513775
1,"chr11:110480001-110490000","chr6:123310001-123320000",8,0.1621936204,2,0.0560032138302963,7.48331477354788
1,"chr13:110690001-110700000","chr14:75300001-75310000",6,0.1191979537,2,0.0372590856255005,6.48074069840786
1,"chr5:12410001-12420000","chr4:9130001-9140000",4,0.095110158,2,0.0416034656212761,4.47213595499958
1,"chr6:41680001-41690000","chr3:81160001-81170000",6,0.1411685809,1,0.041244199633652,6.6332495807108
1,"chr1:22720001-22730000","chr17:13820001-13830000",4,0.0993377862,1,0.0327212476512089,4.47213595499958
1,"chr11:41710001-41720000","chr9:32390001-32400000",2,0.1126588662,1,0.0393167839831714,3.16227766016838
1,"chr2:106060001-106070000","chr15:25360001-25370000",6,0.109933579,2,0.0328262350893189,6
1,"chr4:138280001-138290000","chr9:100250001-100260000",2,0.1157828207,1,0.0457119692942941,3.46410161513775
1,"chr5:89740001-89750000","chr17:89160001-89170000",0,0.0566818372,0,0.0218177516914977,0
1,"chr2:75430001-75440000","chr17:18820001-18830000",8,0.1993590983,2,0.0666743440165568,8.36660026534076
1,"chr13:28740001-28750000","chr6:101490001-101500000",4,0.0897522538,1,0.0278778323233003,4.47213595499958
1,"chr1:34580001-34590000","chr4:155300001-155310000",4,0.1109410854,2,0.0370969162611366,4.47213595499958
1,"chrX:111740001-111750000","chr10:79970001-79980000",2,0.0746931828,1,0.0303845349491338,3.46410161513775
1,"chr12:98670001-98680000","chr19:26750001-26760000",2,0.0632231907,1,0.0224025203444452,3.16227766016838
1,"chr3:99810001-99820000","chr4:133050001-133060000",6,0.1421731232,2,0.049806815788674,6.48074069840786
1,"chr18:85210001-85220000","chr13:88150001-88160000",6,0.1253525601,2,0.0414471940008049,6
1,"chr7:122090001-122100000","chr5:90500001-90510000",6,0.1241310213,2,0.0403331547616229,5.47722557505166
1,"chr6:55240001-55250000","chrX:132810001-132820000",8,0.1370226295,2,0.0470626012931792,7.21110255092798
1,"chr4:83450001-83460000","chr17:40220001-40230000",6,0.1015619769,2,0.0388441939570231,5.65685424949238
